  time (s)              T(t) (K)              P(t) (Pa)           Kinetic En. (n.u.)     Potential En. (n.u.) Total En. (n.u.)
  0.0000e+00           99.70717396            0.00000000        5262.70315446       -18404.09512167       -13141.39196721 
  5.0000e-15           98.87096465            0.00000000        5218.56669756       -18315.77489321       -13097.20819565 
  1.0000e-14           97.48141457            0.00000000        5145.22403526       -18169.01200867       -13023.78797341 
  1.5000e-14           95.55533286            0.00000000        5043.56238049       -17965.56713645       -12922.00475596 
  2.0000e-14           93.11812408            0.00000000        4914.92262633       -17708.10317744       -12793.18055112 
  2.5000e-14           90.20627325            0.00000000        4761.23051063       -17400.44868951       -12639.21817887 
  3.0000e-14           86.87030577            0.00000000        4585.15284333       -17047.91261661       -12462.75977327 
  3.5000e-14           83.17787346            0.00000000        4390.26039611       -16657.61407534       -12267.35367923 
  4.0000e-14           79.21638356            0.00000000        4181.16666084       -16238.76592107       -12057.59926023 
  4.5000e-14           75.09432431            0.00000000        3963.59782045       -15802.82236944       -11839.22454899 
  5.0000e-14           70.94025376            0.00000000        3744.33937316       -15363.37988106       -11619.04050790 
  5.5000e-14           66.89847242            0.00000000        3531.00772837       -14935.72485103       -11404.71712266 
  6.0000e-14           63.12087008            0.00000000        3331.61987138       -14535.97064796       -11204.35077657 
  6.5000e-14           59.75536745            0.00000000        3153.98329184       -14179.82627463       -11025.84298279 
  7.0000e-14           56.93254118            0.00000000        3004.99003374       -13881.16604258       -10876.17600884 
  7.5000e-14           54.75293729            0.00000000        2889.94707546       -13650.67050870       -10760.72343324 
  8.0000e-14           53.27772895            0.00000000        2812.08323378       -13494.82637807       -10682.74314429 
  8.5000e-14           52.52458815            0.00000000        2772.33126540       -13415.48742322       -10643.15615781 
  9.0000e-14           52.46924450            0.00000000        2769.41013949       -13410.04612984       -10640.63599036 
  9.5000e-14           53.05181764            0.00000000        2800.15927608       -13472.11546515       -10671.95618907 
  1.0000e-13           54.18614719            0.00000000        2860.03099260       -13592.52802006       -10732.49702745 
  1.0500e-13           55.77016321            0.00000000        2943.63787661       -13760.44215260       -10816.80427599 
  1.1000e-13           57.69568236            0.00000000        3045.26983845       -13964.38309041       -10919.11325196 
  1.1500e-13           59.85659167            0.00000000        3159.32606726       -14193.10967762       -11033.78361035 
  1.2000e-13           62.15495340            0.00000000        3280.63725320       -14436.25860272       -11155.62134952 
  1.2500e-13           64.50500037            0.00000000        3404.67646844       -14684.76413091       -11280.08766247 
  1.3000e-13           66.83526398            0.00000000        3527.67148617       -14931.07989455       -11403.40840838 
  1.3500e-13           69.08921079            0.00000000        3646.63838231       -15169.24311181       -11522.60472949 
  1.4000e-13           71.22479851            0.00000000        3759.35809697       -15394.82501733       -11635.46692036 
  1.4500e-13           73.21333178            0.00000000        3864.31604451       -15604.80793120       -11740.49188669 
  1.5000e-13           75.03793013            0.00000000        3960.62124627       -15797.42200984       -11836.80076357 
  1.5500e-13           76.69183527            0.00000000        4047.91698862       -15971.96564348       -11924.04865486 
  1.6000e-13           78.17670359            0.00000000        4126.29069952       -16128.62474996       -12002.33405044 
  1.6500e-13           79.50096462            0.00000000        4196.18730163       -16268.29931583       -12072.11201420 
  1.7000e-13           80.67828221            0.00000000        4258.32799568       -16392.44095601       -12134.11296034 
  1.7500e-13           81.72613065            0.00000000        4313.63510239       -16502.90266408       -12189.26756169 
  1.8000e-13           82.66448479            0.00000000        4363.16292555       -16601.80062752       -12238.63770197 
  1.8500e-13           83.51461898            0.00000000        4408.03435977       -16691.38750651       -12283.35314673 
  1.9000e-13           84.29801273            0.00000000        4449.38312717       -16773.93687662       -12324.55374944 
  1.9500e-13           85.03537288            0.00000000        4488.30216831       -16851.63981950       -12363.33765119 
  2.0000e-13           85.74580256            0.00000000        4525.79977623       -16926.51683184       -12400.71705561 
  2.0500e-13           86.44616652            0.00000000        4562.76609929       -17000.35041670       -12437.58431741 
  2.1000e-13           87.15070660            0.00000000        4599.95284470       -17074.64424754       -12474.69140284 
  2.1500e-13           87.87093559            0.00000000        4637.96767602       -17150.61212394       -12512.64444793 
  2.2000e-13           88.61578384            0.00000000        4677.28195080       -17229.19408713       -12551.91213633 
  2.2500e-13           89.39191075            0.00000000        4718.24716274       -17311.09025494       -12592.84309220 
  2.3000e-13           90.20405398            0.00000000        4761.11337390       -17396.79859749       -12635.68522359 
  2.3500e-13           91.05529539            0.00000000        4806.04324881       -17486.64352163       -12680.60027282 
  2.4000e-13           91.94717508            0.00000000        4853.11807689       -17580.78784245       -12727.66976556 
  2.4500e-13           92.87966343            0.00000000        4902.33629412       -17679.22921089       -12776.89291677 
  2.5000e-13           93.85107196            0.00000000        4953.60878084       -17781.78983469       -12828.18105385 
  2.5500e-13           94.85801761            0.00000000        5006.75697280       -17888.11198332       -12881.35501052 
  2.6000e-13           95.89553357            0.00000000        5061.51871480       -17997.66947553       -12936.15076073 
  2.6500e-13           96.95735583            0.00000000        5117.56338193       -18109.79825595       -12992.23487402 
  2.7000e-13           98.03634191            0.00000000        5174.51398235       -18223.74124456       -13049.22726221 
  2.7500e-13           99.12493576            0.00000000        5231.97169618       -18338.69804181       -13106.72634563 
  2.8000e-13          100.21559107            0.00000000        5289.53821733       -18453.87004630       -13164.33182896 
  2.8500e-13          101.30108832     97559515.16734315        5346.83248803       -18568.49417221       -13221.66168417 
  2.9000e-13          102.37106044    185378768.55583572        5403.30731743       -18681.47558270       -13278.16826527 
  2.9500e-13          103.42314037            0.00000000        5458.83776901       -18792.56683474       -13333.72906572 
  3.0000e-13          104.45143035     80279941.30162549        5513.11254898       -18901.14701600       -13388.03446702 
  3.0500e-13          105.45104135     80128942.20313980        5565.87360632       -19006.70244702       -13440.82884071 
  3.1000e-13          106.41449463            0.00000000        5616.72620245       -19108.44542914       -13491.71922669 
  3.1500e-13          107.33628635    182004482.95333287        5665.37983474       -19205.79527790       -13540.41544317 
  3.2000e-13          108.20012715    160341512.28391656        5710.97472550       -19297.03433390       -13586.05960839 
  3.2500e-13          109.00266482     92108259.26900581        5753.33393983       -19381.80137388       -13628.46743406 
  3.3000e-13          109.74354126    149551518.84310392        5792.43857614       -19460.05440391       -13667.61582776 
  3.3500e-13          110.41553257     67508882.57292999        5827.90734535       -19531.02778007       -13703.12043472 
  3.4000e-13          111.01257083    143096916.26966429        5859.41997404       -19594.07855225       -13734.65857821 
  3.4500e-13          111.53365708    444046495.98884952        5886.92373504       -19649.10124611       -13762.17751107 
  3.5000e-13          111.97058992    132824310.72763799        5909.98574452       -19695.23364079       -13785.24789626 
  3.5500e-13          112.32907818     82224734.07433450        5928.90732486       -19733.07483715       -13804.16751229 
  3.6000e-13          112.60797149    225997835.95795420        5943.62775739       -19762.50072971       -13818.87297232 
  3.6500e-13          112.81504656    252789786.78698301        5954.55750850       -19784.33182884       -13829.77432035 
  3.7000e-13          112.95617484    237012985.32827637        5962.00648346       -19799.18544760       -13837.17896414 
